date,start,end,title,domain,activity,campus,groups,venue,staff
2025-07-23,2025-07-23T09:00,2025-07-23T10:00,Introduction to Semester 2,Info,Lecture,Both,ALL,Zoom 2025,"Dr Jessica Bergmann, Dr Esther Robinson"
2025-07-24,2025-07-24T09:00,2025-07-24T10:00,Medical Sciences - Female Pelvis & Reproduction Systems,Anatomy,Lecture,Both,ALL,Prerecoding on Canvas Panopto,Ethan Cresswell
2025-07-24,2025-07-24T10:00,2025-07-24T11:30,Medical Sciences - Female Pelvis & Reproduction Systems,Anatomy,Lab,CCS,A;B,GO93.11.37,Dr Ethan Cresswell
2025-07-24,2025-07-24T11:30,2025-07-24T13:00,Medical Sciences - Female Pelvis & Reproduction Systems,Anatomy,Lab,CCS,C;D,GO93.11.37,Dr Ethan Cresswell
2025-07-24,2025-07-24T09:00,2025-07-24T10:30,Medical Sciences - Female Pelvis & Reproduction Systems,Anatomy,Lab,Callaghan,E;G;I;K;M;N,MSW320,A Prof Doug Smith
2025-07-24,2025-07-24T10:30,2025-07-24T12:00,Medical Sciences - Female Pelvis & Reproduction Systems,Anatomy,Lab,Callaghan,F;J;H;L;O;P,MSW320,A Prof Doug Smith
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,CCS,A,GO93.08.55,Tegan Stettaford
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,CCS,B,GO93.08.51,Heather Allard
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,E,GP326,Erin Gardiner
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,G,GP328,Tooba Azami
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,I,GP325,Travis Swadling
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,K,GP327,Richard Thorpe
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,M,GP321,Juan Morales Franco
2025-07-24,2025-07-24T13:00,2025-07-24T15:00,Open Working Problem 45,PBL,Tutorial,Callaghan,N,GP324,Lauren Harms
2025-07-24,2025-07-24T15:00,2025-07-24T17:00,Open Working Problem 45,PBL,Tutorial,CCS,C,GO93.08.55,Ethan Creswell
